"商品名","分词结果","品牌词","品牌数","类别词","类别数","原始类别","原始品牌","商品CODE","rand","标注类别词"
"明珠 香焖娘娘鱼100g/包","明珠, 香, 焖, 娘娘, 鱼, 100g, /, 包","明珠","1","鱼","1","0-5135-5146-5465:食品、饮料、酒水-休闲零食-鱼干","明珠","10882925","0",""
"明珠 香焖鱿鱼花120g/包","明珠, 香, 焖, 鱿, 鱼花, 120g, /, 包","明珠","1","","0","0-5135-5146-5465:食品、饮料、酒水-休闲零食-鱼干","明珠","10882889","0",""
"明珠 香焖鱿鱼花生120g/包","明珠, 香, 焖, 鱿鱼, 花生, 120g, /, 包","明珠","1","花生","1","0-5135-5146-5465:食品、饮料、酒水-休闲零食-鱼干","明珠","10882903","1","花生"
"明珠 香酥小黄鱼125g/包","明珠, 香酥, 小黄鱼, 125g, /, 包","明珠","1","","0","0-5135-5146-5465:食品、饮料、酒水-休闲零食-鱼干","明珠","10882801","0",""
"明珠 香酥带鱼125g/包","明珠, 香酥, 带鱼, 125g, /, 包","明珠","1","","0","0-5135-5146-5465:食品、饮料、酒水-休闲零食-鱼干","明珠","10882812","0",""
"明珠 鱿鱼嘴巴120g/包","明珠, 鱿鱼, 嘴巴, 120g, /, 包","明珠","99999","","0","0-5135-5146-5465:食品、饮料、酒水-休闲零食-鱼干","明珠","10882845","0","鱿鱼"
"波力渔趣 鳕柳丝（原味+辣味）40g*2袋","波力, 渔, 趣, 鳕, 柳丝, （, 原味, +, 辣味, ）, 40g, *, 2袋","波力","1","","0","0-5135-5146-5465:食品、饮料、酒水-休闲零食-鱼干","波力","114318","0",""
"波力渔趣 鳕柳丝（原味）40g/袋","波力, 渔, 趣, 鳕, 柳丝, （, 原味, ）, 40g, /, 袋","波力","1","","0","0-5135-5146-5465:食品、饮料、酒水-休闲零食-鱼干","波力","29890","0",""
"波力渔趣 鳕柳丝（辣味）40g/袋","波力, 渔, 趣, 鳕, 柳丝, （, 辣味, ）, 40g, /, 袋","波力","1","","0","0-5135-5146-5465:食品、饮料、酒水-休闲零食-鱼干","波力","29903","0",""
"渔派 超人烟熏三文鱼味鱼丝30g/袋","渔派, 超人, 烟熏, 三文鱼, 味, 鱼, 丝, 30g, /, 袋","渔派","1","三文鱼, 鱼","2","0-5135-5146-5465:食品、饮料、酒水-休闲零食-鱼干","渔派","231629","0","三文鱼"
"渔派 超人烤鱿鱼味鱼丝30g/袋","渔派, 超人, 烤, 鱿鱼, 味, 鱼, 丝, 30g, /, 袋","渔派","1","鱼","1","0-5135-5146-5465:食品、饮料、酒水-休闲零食-鱼干","渔派","231641","0",""
"渔派 超人香烤鱼丝30g/袋","渔派, 超人, 香, 烤鱼, 丝, 30g, /, 袋","渔派","1","","0","0-5135-5146-5465:食品、饮料、酒水-休闲零食-鱼干","渔派","231630","0",""
"珍奇鲜 炭烧鱿鱼丝90g/袋","珍奇鲜, 炭烧, 鱿鱼丝, 90g, /, 袋","珍奇鲜","1","鱿鱼丝","1","0-5135-5146-5465:食品、饮料、酒水-休闲零食-鱼干","珍奇鲜","143475","0","鱿鱼丝"
"百味林 汁烤马鲛鱼35g","百味林, 汁, 烤, 马, 鲛, 鱼, 35g","百味林","1","鱼","1","0-5135-5146-5465:食品、饮料、酒水-休闲零食-鱼干","百味林","107119","0",""
"百味林 汁烤鳐鱼35g","百味林, 汁, 烤, 鳐鱼, 35g","百味林","1","","0","0-5135-5146-5465:食品、饮料、酒水-休闲零食-鱼干","百味林","107108","0",""
"百味林 蜜炼金丝鱼50g","百味林, 蜜, 炼, 金丝, 鱼, 50g","百味林","1","鱼","1","0-5135-5146-5465:食品、饮料、酒水-休闲零食-鱼干","百味林","107120","0",""
"百味林东海小黄鱼60g","百味林, 东海, 小黄鱼, 60g","百味林","1","","0","0-5135-5146-5465:食品、饮料、酒水-休闲零食-鱼干","百味林","380701","0",""
"百味林东瀛辣味鳕鱼50G","百味林, 东瀛, 辣味, 鳕鱼, 50G","百味林","1","","0","0-5135-5146-5465:食品、饮料、酒水-休闲零食-鱼干","百味林","380687","0",""
"百味林东瀛鳕鱼片50G","百味林, 东瀛, 鳕, 鱼片, 50G","百味林","99999","","0","0-5135-5146-5465:食品、饮料、酒水-休闲零食-鱼干","百味林","380698","0","鱼片"
"百味林北海道昌鱼35G","百味林, 北海道, 昌, 鱼, 35G","百味林","1","鱼","1","0-5135-5146-5465:食品、饮料、酒水-休闲零食-鱼干","百味林","380756","0",""
"百味林南海烤鳗50G","百味林, 南海, 烤, 鳗, 50G","百味林","1","","0","0-5135-5146-5465:食品、饮料、酒水-休闲零食-鱼干","百味林","222468","0",""
"百味林手撕鱿鱼片50g","百味林, 手, 撕, 鱿, 鱼片, 50g","百味林","99999","","0","0-5135-5146-5465:食品、饮料、酒水-休闲零食-鱼干","百味林","381146","0","鱼片"
"百味林汁烤锦鮻鱼35G","百味林, 汁, 烤, 锦, 鮻, 鱼, 35G","百味林","1","鱼","1","0-5135-5146-5465:食品、饮料、酒水-休闲零食-鱼干","百味林","380676","0",""
"百味林深海烤鱼片50g","百味林, 深海, 烤, 鱼片, 50g","百味林","99999","","0","0-5135-5146-5465:食品、饮料、酒水-休闲零食-鱼干","百味林","381135","0","鱼片"
"百味林美味鱿鱼丝60g","百味林, 美味, 鱿鱼丝, 60g","百味林","1","鱿鱼丝","1","0-5135-5146-5465:食品、饮料、酒水-休闲零食-鱼干","百味林","381157","0","鱿鱼丝"
"百味林美极煎鱼35G","百味林, 美极, 煎鱼, 35G","百味林","1","","0","0-5135-5146-5465:食品、饮料、酒水-休闲零食-鱼干","百味林","380665","0",""
"百味林金丝烤鱼35G","百味林, 金丝, 烤鱼, 35G","百味林","1","","0","0-5135-5146-5465:食品、饮料、酒水-休闲零食-鱼干","百味林","381168","0",""
"真正老陆稿荐 太湖凤尾鱼150g/盒","真正老陆稿荐, 太湖, 凤尾鱼, 150g, /, 盒","真正老陆稿荐","1","盒","1","0-5135-5146-5465:食品、饮料、酒水-休闲零食-鱼干","真正老陆稿荐","10745923","0",""
"真正老陆稿荐 太湖熏鱼150g/袋","真正老陆稿荐, 太湖, 熏鱼, 150g, /, 袋","真正老陆稿荐","1","","0","0-5135-5146-5465:食品、饮料、酒水-休闲零食-鱼干","真正老陆稿荐","10745990","0",""
"立丰 珍珠黄鱼90g/罐","立丰, 珍珠, 黄鱼, 90g, /, 罐","立丰","1","罐","1","0-5135-5146-5465:食品、饮料、酒水-休闲零食-鱼干","立丰","10090387","0",""
"立丰 红娘鱼90g/罐","立丰, 红娘, 鱼, 90g, /, 罐","立丰","1","鱼, 罐","2","0-5135-5146-5465:食品、饮料、酒水-休闲零食-鱼干","立丰","10090401","0",""
"立丰 美味鱼片干90g/罐","立丰, 美味, 鱼片, 干, 90g, /, 罐","立丰","99999","罐","1","0-5135-5146-5465:食品、饮料、酒水-休闲零食-鱼干","立丰","10090412","0","鱼片"
"立丰 香酥鱼排100g/罐","立丰, 香酥, 鱼排, 100g, /, 罐","立丰","1","罐","1","0-5135-5146-5465:食品、饮料、酒水-休闲零食-鱼干","立丰","10090423","0",""
"立丰 鱿鱼丝90g/罐","立丰, 鱿鱼丝, 90g, /, 罐","立丰","1","鱿鱼丝, 罐","2","0-5135-5146-5465:食品、饮料、酒水-休闲零食-鱼干","立丰","10090398","0","鱿鱼丝"
"远洋 烤鱼片100g/袋","远洋, 烤, 鱼片, 100g, /, 袋","远洋","99999","","0","0-5135-5146-5465:食品、饮料、酒水-休闲零食-鱼干","远洋","30228","1","鱼片"
"【逸鼎亨】零嘴小吃 正宗舟山耐嚼风味 鱿鱼丝 200g","【, 逸鼎亨, 】, 零嘴, 小吃, 正宗, 舟山, 耐, 嚼, 风味, 鱿鱼丝, 200g","逸鼎亨","1","舟山, 鱿鱼丝","2","0-5135-5146-5465:食品、饮料、酒水-休闲零食-鱼干","逸鼎亨","10938019","0","鱿鱼丝"
"金丰味 目鱼贝105g/包","金丰味, 目, 鱼, 贝, 105g, /, 包","金丰味","1","鱼","1","0-5135-5146-5465:食品、饮料、酒水-休闲零食-鱼干","金丰味","10589001","0",""
"金丰味 达仔鱼108g/包","金丰味, 达, 仔鱼, 108g, /, 包","金丰味","1","","0","0-5135-5146-5465:食品、饮料、酒水-休闲零食-鱼干","金丰味","10588984","0",""
"金丰味 香带鱼120g/包","金丰味, 香, 带鱼, 120g, /, 包","金丰味","1","","0","0-5135-5146-5465:食品、饮料、酒水-休闲零食-鱼干","金丰味","10588995","0",""
"鲜得味 渔派香烤鱼丝天然原味40g","鲜得味, 渔派, 香, 烤鱼, 丝, 天然, 原味, 40g","鲜得味","1","","0","0-5135-5146-5465:食品、饮料、酒水-休闲零食-鱼干","鲜得味","10082152","0",""
"鲜得味 渔派香烤鱼丝秘制三文鱼味40g","鲜得味, 渔派, 香, 烤鱼, 丝, 秘, 制, 三文鱼, 味, 40g","鲜得味","1","三文鱼","1","0-5135-5146-5465:食品、饮料、酒水-休闲零食-鱼干","鲜得味","10082141","0","三文鱼"
"台尚 味付海苔9.0g/包","台尚, 味, 付, 海苔, 9.0g, /, 包","台尚","1","海苔","1","0-5135-5146-5473:食品、饮料、酒水-休闲零食-海苔","台尚","10114291","0","海苔"
"喜之郎 美好时光海苔36g/袋","喜之郎, 美好时光, 海苔, 36g, /, 袋","喜之郎","1","海苔","1","0-5135-5146-5473:食品、饮料、酒水-休闲零食-海苔","喜之郎","29083","0","海苔"
"喜之郎 美好时光海苔7.5g/袋","喜之郎, 美好时光, 海苔, 7.5g, /, 袋","喜之郎","1","海苔","1","0-5135-5146-5473:食品、饮料、酒水-休闲零食-海苔","喜之郎","29094","0","海苔"
"四洲 紫菜10束（辣味）7.6g/包","四洲, 紫菜, 10, 束, （, 辣味, ）, 7.6g, /, 包","四洲","1","紫菜","1","0-5135-5146-5473:食品、饮料、酒水-休闲零食-海苔","四洲","222399","0","紫菜"
"四洲 紫菜24束(原味)18g/包","四洲, 紫菜, 24, 束, (, 原味, ), 18g, /, 包","四洲","1","紫菜","1","0-5135-5146-5473:食品、饮料、酒水-休闲零食-海苔","四洲","9697001","0","紫菜"
"四洲 紫菜24束(辣味)18g/包","四洲, 紫菜, 24, 束, (, 辣味, ), 18g, /, 包","四洲","1","紫菜","1","0-5135-5146-5473:食品、饮料、酒水-休闲零食-海苔","四洲","9697012","0","紫菜"
"四洲 紫菜4大片(原味)3g*8包","四洲, 紫菜, 4, 大片, (, 原味, ), 3g, *, 8, 包","四洲","1","紫菜","1","0-5135-5146-5473:食品、饮料、酒水-休闲零食-海苔","四洲","9696940","0","紫菜"
"四洲 紫菜50束(番茄味)40g/包","四洲, 紫菜, 50, 束, (, 番茄, 味, ), 40g, /, 包","四洲","1","紫菜","1","0-5135-5146-5473:食品、饮料、酒水-休闲零食-海苔","四洲","9697067","0","紫菜"
"四洲 紫菜50束(辣味)40g/包","四洲, 紫菜, 50, 束, (, 辣味, ), 40g, /, 包","四洲","1","紫菜","1","0-5135-5146-5473:食品、饮料、酒水-休闲零食-海苔","四洲","9697045","0","紫菜"
"四洲 紫菜6束（原味）4.5g/包","四洲, 紫菜, 6, 束, （, 原味, ）, 4.5g, /, 包","四洲","1","紫菜","1","0-5135-5146-5473:食品、饮料、酒水-休闲零食-海苔","四洲","394296","0","紫菜"
"四洲 紫菜6束（原味）7.6g/包","四洲, 紫菜, 6, 束, （, 原味, ）, 7.6g, /, 包","四洲","1","紫菜","1","0-5135-5146-5473:食品、饮料、酒水-休闲零食-海苔","四洲","394332","0","紫菜"
"四洲 紫菜6束（番茄味）4.5g/包","四洲, 紫菜, 6, 束, （, 番茄, 味, ）, 4.5g, /, 包","四洲","1","紫菜","1","0-5135-5146-5473:食品、饮料、酒水-休闲零食-海苔","四洲","394321","0","紫菜"
"四洲 紫菜6束（番茄味）7.6g/包","四洲, 紫菜, 6, 束, （, 番茄, 味, ）, 7.6g, /, 包","四洲","1","紫菜","1","0-5135-5146-5473:食品、饮料、酒水-休闲零食-海苔","四洲","394354","0","紫菜"
"四洲 紫菜6束（芥辣味）7.6g/包","四洲, 紫菜, 6, 束, （, 芥, 辣味, ）, 7.6g, /, 包","四洲","1","紫菜","1","0-5135-5146-5473:食品、饮料、酒水-休闲零食-海苔","四洲","394343","0","紫菜"
"四洲 紫菜6束（辣味）4.5g/包","四洲, 紫菜, 6, 束, （, 辣味, ）, 4.5g, /, 包","四洲","1","紫菜","1","0-5135-5146-5473:食品、饮料、酒水-休闲零食-海苔","四洲","394309","0","紫菜"
"塞翁福 海带200g/袋","塞翁福, 海带, 200g, /, 袋","塞翁福","1","海带","1","0-5135-5146-5473:食品、饮料、酒水-休闲零食-海苔","塞翁福","83727","0","海带"
"波力 波力40g鳕柳丝(海苔味)40g","波力, 波力, 40g, 鳕, 柳丝, (, 海苔, 味, ), 40g","波力","1","","0","0-5135-5146-5473:食品、饮料、酒水-休闲零食-海苔","波力","10101696","0",""
"波力 波力8切礼包(辣味)24g","波力, 波力, 8, 切, 礼包, (, 辣味, ), 24g","波力","1","","0","0-5135-5146-5473:食品、饮料、酒水-休闲零食-海苔","波力","10101685","0",""
"波力 波力9束海苔(原味)6.7g","波力, 波力, 9, 束, 海苔, (, 原味, ), 6.7g","波力","1","海苔","1","0-5135-5146-5473:食品、饮料、酒水-休闲零食-海苔","波力","10101710","0","海苔"
"波力 波力9束海苔(辣味)6.7g","波力, 波力, 9, 束, 海苔, (, 辣味, ), 6.7g","波力","1","海苔","1","0-5135-5146-5473:食品、饮料、酒水-休闲零食-海苔","波力","10101721","0","海苔"
"波力 波力海苔100束3枚海苔(原味)75g","波力, 波力, 海苔, 100, 束, 3枚, 海苔, (, 原味, ), 75g","波力","1","海苔, 海苔","2","0-5135-5146-5473:食品、饮料、酒水-休闲零食-海苔","波力","10101709","0","海苔"
"波力 波力海苔灌装鱼片夹心脆80g","波力, 波力, 海苔, 灌装, 鱼片, 夹心, 脆, 80g","波力","99999","海苔","1","0-5135-5146-5473:食品、饮料、酒水-休闲零食-海苔","波力","10101732","0","海苔, 鱼片"
"波力 波力海苔袋装鱼片夹心脆12g","波力, 波力, 海苔, 袋装, 鱼片, 夹心, 脆, 12g","波力","99999","海苔","1","0-5135-5146-5473:食品、饮料、酒水-休闲零食-海苔","波力","10101743","0","海苔, 鱼片"
"波力海苔 原味(12切3枚15束）11.2g/袋","波力, 海苔, 原味, (, 12, 切, 3枚, 15, 束, ）, 11.2g, /, 袋","波力","1","海苔","1","0-5135-5146-5473:食品、饮料、酒水-休闲零食-海苔","波力","29812","0","海苔"
"波力海苔 原味(12切3枚33束)24.7g/袋","波力, 海苔, 原味, (, 12, 切, 3枚, 33, 束, ), 24.7g, /, 袋","波力","1","海苔","1","0-5135-5146-5473:食品、饮料、酒水-休闲零食-海苔","波力","29834","0","海苔"
"波力海苔 原味礼包（8切8枚）24g/袋","波力, 海苔, 原味, 礼包, （, 8, 切, 8枚, ）, 24g, /, 袋","波力","1","海苔","1","0-5135-5146-5473:食品、饮料、酒水-休闲零食-海苔","波力","29801","0","海苔"
"波力海苔 辣味（12切3枚15束）11.2g/袋","波力, 海苔, 辣味, （, 12, 切, 3枚, 15, 束, ）, 11.2g, /, 袋","波力","1","海苔","1","0-5135-5146-5473:食品、饮料、酒水-休闲零食-海苔","波力","29823","0","海苔"
"美好时光 海苔18g/袋","美好时光, 海苔, 18g, /, 袋","美好时光","1","海苔","1","0-5135-5146-5473:食品、饮料、酒水-休闲零食-海苔","美好时光","222402","1","海苔"
"美好时光 海苔4.5g*6/袋","美好时光, 海苔, 4.5g, *, 6, /, 袋","美好时光","1","海苔","1","0-5135-5146-5473:食品、饮料、酒水-休闲零食-海苔","美好时光","29072","0","海苔"
"美好时光 海苔中袋12g/袋","美好时光, 海苔, 中, 袋, 12g, /, 袋","美好时光","1","海苔","1","0-5135-5146-5473:食品、饮料、酒水-休闲零食-海苔","美好时光","9551320","0","海苔"
"美好时光 海苔小袋3g/袋","美好时光, 海苔, 小袋, 3g, /, 袋","美好时光","1","海苔","1","0-5135-5146-5473:食品、饮料、酒水-休闲零食-海苔","美好时光","9551342","0","海苔"
"光明 女士高钙高纤奶粉350g(25g*14袋)","光明, 女士, 高钙, 高, 纤, 奶粉, 350g, (, 25g, *, 14袋, )","光明","1","奶粉","1","0-5135-5148-5270:食品、饮料、酒水-冲饮-奶粉","光明","572781","0","奶粉"
"光明 脱脂奶粉400g/袋","光明, 脱脂奶粉, 400g, /, 袋","光明","1","","0","0-5135-5148-5270:食品、饮料、酒水-冲饮-奶粉","光明","121595","0",""
"光明 高钙奶粉400g/袋","光明, 高钙, 奶粉, 400g, /, 袋","光明","1","奶粉","1","0-5135-5148-5270:食品、饮料、酒水-冲饮-奶粉","光明","572770","0","奶粉"
"光明牌 中老年奶粉400g/袋","光, 明牌, 中老年, 奶粉, 400g, /, 袋","","0","奶粉","1","0-5135-5148-5270:食品、饮料、酒水-冲饮-奶粉","光明","86737","0","奶粉"
"光明牌 中老年高钙奶粉800g/罐","光, 明牌, 中老年, 高钙, 奶粉, 800g, /, 罐","","0","奶粉, 罐","2","0-5135-5148-5270:食品、饮料、酒水-冲饮-奶粉","光明","9531297","0","奶粉"
"光明牌 全脂奶粉400g/袋","光, 明牌, 全脂奶粉, 400g, /, 袋","","0","","0","0-5135-5148-5270:食品、饮料、酒水-冲饮-奶粉","光明","86680","0",""
"光明牌 全脂甜奶粉400g/袋","光, 明牌, 全脂, 甜, 奶粉, 400g, /, 袋","","0","奶粉","1","0-5135-5148-5270:食品、饮料、酒水-冲饮-奶粉","光明","9531264","0","奶粉"
"光明牌 多维高钙奶粉800g/罐","光, 明牌, 多维, 高钙, 奶粉, 800g, /, 罐","","0","奶粉, 罐","2","0-5135-5148-5270:食品、饮料、酒水-冲饮-奶粉","光明","9531311","0","奶粉"
"光明牌 学生高钙铁锌奶粉350g/袋(25g*14袋)","光, 明牌, 学生, 高, 钙铁锌, 奶粉, 350g, /, 袋, (, 25g, *, 14袋, )","","0","钙铁锌, 奶粉","2","0-5135-5148-5270:食品、饮料、酒水-冲饮-奶粉","光明","121619","0","奶粉"
"光明牌 学生高钙铁锌奶粉800g/罐","光, 明牌, 学生, 高, 钙铁锌, 奶粉, 800g, /, 罐","","0","钙铁锌, 奶粉, 罐","3","0-5135-5148-5270:食品、饮料、酒水-冲饮-奶粉","光明","9531300","0","奶粉"
"光明牌 香浓全脂奶粉350g/袋(25g*14袋)","光, 明牌, 香浓, 全脂奶粉, 350g, /, 袋, (, 25g, *, 14袋, )","","0","","0","0-5135-5148-5270:食品、饮料、酒水-冲饮-奶粉","光明","9531275","0",""
"光明牌 香浓脱脂奶粉350g/袋(25g*14袋)","光, 明牌, 香浓, 脱脂奶粉, 350g, /, 袋, (, 25g, *, 14袋, )","","0","","0","0-5135-5148-5270:食品、饮料、酒水-冲饮-奶粉","光明","86726","0",""
"光明牌 香浓高钙奶粉350g/袋(25g*14袋)","光, 明牌, 香浓, 高钙, 奶粉, 350g, /, 袋, (, 25g, *, 14袋, )","","0","奶粉","1","0-5135-5148-5270:食品、饮料、酒水-冲饮-奶粉","光明","9531286","0","奶粉"
"光明牌中老年高钙高维E奶粉350g/袋(25g*14袋)","光, 明牌, 中老年, 高钙, 高, 维, E, 奶粉, 350g, /, 袋, (, 25g, *, 14袋, )","","0","奶粉","1","0-5135-5148-5270:食品、饮料、酒水-冲饮-奶粉","光明","86748","0","奶粉"
"光明牌香浓高钙甜奶粉350g/袋(25g*14袋)","光, 明牌, 香浓, 高钙, 甜, 奶粉, 350g, /, 袋, (, 25g, *, 14袋, )","","0","奶粉","1","0-5135-5148-5270:食品、饮料、酒水-冲饮-奶粉","光明","121620","0","奶粉"
"安怡 长青中老年高钙配方奶粉350g","安怡, 长青, 中老年, 高钙, 配方, 奶粉, 350g","安怡","1","奶粉","1","0-5135-5148-5270:食品、饮料、酒水-冲饮-奶粉","安怡","10101061","0","奶粉"
"安怡 长青中老年高钙配方奶粉800g","安怡, 长青, 中老年, 高钙, 配方, 奶粉, 800g","安怡","1","奶粉","1","0-5135-5148-5270:食品、饮料、酒水-冲饮-奶粉","安怡","10101050","0","奶粉"
"安怡 长青中老年高钙配方奶粉800g/听(促销装)","安怡, 长青, 中老年, 高钙, 配方, 奶粉, 800g, /, 听, (, 促销装, )","安怡","1","奶粉","1","0-5135-5148-5270:食品、饮料、酒水-冲饮-奶粉","安怡","10733707","0","奶粉"
"春光 速溶木瓜粉320g/袋","春光, 速溶, 木瓜, 粉, 320g, /, 袋","春光","1","速溶, 粉","2","0-5135-5148-5270:食品、饮料、酒水-冲饮-奶粉","春光","29301","0","速溶"
"春光 速溶椰子粉360g/袋","春光, 速溶, 椰子, 粉, 360g, /, 袋","春光","99999","速溶, 粉","2","0-5135-5148-5270:食品、饮料、酒水-冲饮-奶粉","春光","29323","0","椰子"
"梁丰 梁丰强化麦乳精1500g/罐","梁丰, 梁丰, 强化, 麦乳精, 1500g, /, 罐","梁丰","1","罐","1","0-5135-5148-5270:食品、饮料、酒水-冲饮-奶粉","梁丰","10065460","0",""
"梁丰 梁丰强化麦乳精800g/罐","梁丰, 梁丰, 强化, 麦乳精, 800g, /, 罐","梁丰","1","罐","1","0-5135-5148-5270:食品、饮料、酒水-冲饮-奶粉","梁丰","10065459","0",""
"福牌 上海强化麦乳精800g罐装","福牌, 上海, 强化, 麦乳精, 800g, 罐装","福牌","1","","0","0-5135-5148-5270:食品、饮料、酒水-冲饮-奶粉","福牌","9659283","0",""
"福牌 乐口福(800+88)g袋装","福牌, 乐, 口福, (, 800+88, ), g, 袋装","福牌","1","","0","0-5135-5148-5270:食品、饮料、酒水-冲饮-奶粉","福牌","87581","0",""
"福牌 乐口福1500g罐装","福牌, 乐, 口福, 1500g, 罐装","福牌","1","","0","0-5135-5148-5270:食品、饮料、酒水-冲饮-奶粉","福牌","87605","0",""
"荷兰乳牛 中老年配方奶粉360g/盒(12袋*30g)","荷兰乳牛, 中老年, 配方, 奶粉, 360g, /, 盒, (, 12袋, *, 30g, )","荷兰乳牛","1","奶粉, 盒","2","0-5135-5148-5270:食品、饮料、酒水-冲饮-奶粉","荷兰乳牛","10101505","0","奶粉"
"荷兰乳牛 中老年配方奶粉900g/听","荷兰乳牛, 中老年, 配方, 奶粉, 900g, /, 听","荷兰乳牛","1","奶粉","1","0-5135-5148-5270:食品、饮料、酒水-冲饮-奶粉","荷兰乳牛","10101516","0","奶粉"
"荷兰乳牛 多维营养奶粉360g/盒(12袋*30g)","荷兰乳牛, 多维, 营养, 奶粉, 360g, /, 盒, (, 12袋, *, 30g, )","荷兰乳牛","1","营养, 奶粉, 盒","3","0-5135-5148-5270:食品、饮料、酒水-冲饮-奶粉","荷兰乳牛","10101561","0","奶粉"
"荷兰乳牛 多维营养奶粉900g/听","荷兰乳牛, 多维, 营养, 奶粉, 900g, /, 听","荷兰乳牛","1","营养, 奶粉","2","0-5135-5148-5270:食品、饮料、酒水-冲饮-奶粉","荷兰乳牛","43765","0","奶粉"
"荷兰乳牛 学生配方奶粉360g/盒(12袋*30g)","荷兰乳牛, 学生, 配方, 奶粉, 360g, /, 盒, (, 12袋, *, 30g, )","荷兰乳牛","1","奶粉, 盒","2","0-5135-5148-5270:食品、饮料、酒水-冲饮-奶粉","荷兰乳牛","10101527","0","奶粉"
"荷兰乳牛 学生配方奶粉900g/听","荷兰乳牛, 学生, 配方, 奶粉, 900g, /, 听","荷兰乳牛","1","奶粉","1","0-5135-5148-5270:食品、饮料、酒水-冲饮-奶粉","荷兰乳牛","10101538","0","奶粉"
"荷兰乳牛 高钙营养奶粉360g/盒(12袋*30g)","荷兰乳牛, 高钙, 营养, 奶粉, 360g, /, 盒, (, 12袋, *, 30g, )","荷兰乳牛","1","营养, 奶粉, 盒","3","0-5135-5148-5270:食品、饮料、酒水-冲饮-奶粉","荷兰乳牛","10101549","0","奶粉"
"荷兰乳牛 高钙营养奶粉900g/听","荷兰乳牛, 高钙, 营养, 奶粉, 900g, /, 听","荷兰乳牛","1","营养, 奶粉","2","0-5135-5148-5270:食品、饮料、酒水-冲饮-奶粉","荷兰乳牛","10101550","0","奶粉"
"喜羊羊饭盒（阿华田赠品）","喜羊羊, 饭盒, （, 阿华田, 赠品, ）","喜羊羊","1","饭盒","1","0-5135-5148-5270:食品、饮料、酒水-冲饮-奶粉","阿华田","413252","0",""
"阿华田 3合1随身包(30g*12)","阿华田, 3, 合, 1, 随身, 包, (, 30g, *, 12, )","阿华田","1","","0","0-5135-5148-5270:食品、饮料、酒水-冲饮-奶粉","阿华田","365435","1",""
"阿华田 800g罐装","阿华田, 800g, 罐装","阿华田","1","","0","0-5135-5148-5270:食品、饮料、酒水-冲饮-奶粉","阿华田","365388","0",""
"阿华田 营养多合一营养麦芽蛋白型固体饮料400g?","阿华田, 营养, 多, 合一, 营养, 麦芽, 蛋白, 型, 固体, 饮料, 400g, ?","阿华田","1","营养, 营养, 饮料","3","0-5135-5148-5270:食品、饮料、酒水-冲饮-奶粉","阿华田","366052","0","饮料"
"阿华田 餐饮营养多合一30g*30","阿华田, 餐饮, 营养, 多, 合一, 30g, *, 30","阿华田","1","餐饮, 营养","2","0-5135-5148-5270:食品、饮料、酒水-冲饮-奶粉","阿华田","443481","0","餐饮"
"雀巢 中老年奶粉(听装)900g","雀巢, 中老年, 奶粉, (, 听装, ), 900g","雀巢","1","奶粉","1","0-5135-5148-5270:食品、饮料、酒水-冲饮-奶粉","雀巢","9834100","0","奶粉"
"雀巢 中老年营养奶粉(16*25g)","雀巢, 中老年, 营养, 奶粉, (, 16, *, 25g, )","雀巢","1","营养, 奶粉","2","0-5135-5148-5270:食品、饮料、酒水-冲饮-奶粉","雀巢","9834097","0","奶粉"
"雀巢 全脂奶粉(袋装)400g","雀巢, 全脂奶粉, (, 袋装, ), 400g","雀巢","1","","0","0-5135-5148-5270:食品、饮料、酒水-冲饮-奶粉","雀巢","9834053","0",""
"雀巢 学生甜奶粉400g","雀巢, 学生, 甜, 奶粉, 400g","雀巢","1","奶粉","1","0-5135-5148-5270:食品、饮料、酒水-冲饮-奶粉","雀巢","9834155","0","奶粉"
"雀巢 高纤高钙奶粉400g","雀巢, 高, 纤, 高钙, 奶粉, 400g","雀巢","1","奶粉","1","0-5135-5148-5270:食品、饮料、酒水-冲饮-奶粉","雀巢","9834202","0","奶粉"
"雀巢 高纤高钙奶粉900g","雀巢, 高, 纤, 高钙, 奶粉, 900g","雀巢","1","奶粉","1","0-5135-5148-5270:食品、饮料、酒水-冲饮-奶粉","雀巢","9834213","0","奶粉"
"雀巢 高钙高铁奶粉400g/袋","雀巢, 高钙, 高, 铁, 奶粉, 400g, /, 袋","雀巢","1","奶粉","1","0-5135-5148-5270:食品、饮料、酒水-冲饮-奶粉","雀巢","43903","0","奶粉"
"雀巢 高钙高铁奶粉900g/罐","雀巢, 高钙, 高, 铁, 奶粉, 900g, /, 罐","雀巢","1","奶粉, 罐","2","0-5135-5148-5270:食品、饮料、酒水-冲饮-奶粉","雀巢","43914","1","奶粉"
"雀巢咖啡红杯（雀巢赠品）","雀巢, 咖啡, 红, 杯, （, 雀巢, 赠品, ）","雀巢","1","咖啡, 杯","2","0-5135-5148-5270:食品、饮料、酒水-冲饮-奶粉","雀巢","9509415","0",""
"齐梅 可舒粉360g/盒","齐梅, 可, 舒, 粉, 360g, /, 盒","齐梅","1","粉, 盒","2","0-5135-5148-5270:食品、饮料、酒水-冲饮-奶粉","齐梅","10352166","0",""
"齐梅 木糖醇奶粉400g/盒","齐梅, 木糖醇, 奶粉, 400g, /, 盒","齐梅","1","奶粉, 盒","2","0-5135-5148-5270:食品、饮料、酒水-冲饮-奶粉","齐梅","10352177","0","奶粉"
